what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351004146254
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351004147726
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351004155343
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351004157159
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351004157999
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351004173659
activated,editor,com.aptana.editor.sass,3.0.2.1337406325,"com.aptana.editor.sass",1351004176474
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1351004197589
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351004198673
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351004211754
activated,editor,com.aptana.editor.coffee,3.0.0.1337703194,"com.aptana.editor.coffee",1351004217535
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1351004227868
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351004228896
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351004359342
activated,editor,com.aptana.editor.erb,3.0.3.1337406325,"com.aptana.editor.erb.html",1351004363465
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1351004366130
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351004367965
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351004373564
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351004377529
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351004380400
activated,editor,com.aptana.editor.sass,3.0.2.1337406325,"com.aptana.editor.sass",1351004385464
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1351004418670
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351004419609
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351004434455
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351004435232
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351004469175
activated,editor,com.aptana.editor.erb,3.0.3.1337406325,"com.aptana.editor.erb.html",1351004471361
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1351004560446
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1351004563790
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351004565476
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351004702194
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351004711895
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351004721312
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351004722307
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351004726733
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1351004732685
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1351004735013
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351004736500
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351004890723
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351004892458
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351004898416
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1351004904000
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351004920017
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351004927309
activated,editor,com.aptana.editor.erb,3.0.3.1337406325,"com.aptana.editor.erb.html",1351004927328
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1351004934563
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351004939828
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351004957618
activated,editor,com.aptana.editor.erb,3.0.3.1337406325,"com.aptana.editor.erb.html",1351004957633
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1351004961161
